CATION_ANION Temperature Pressure Density
C0460_A0083 320.65 5000 1223.03
C0460_A0083 320.65 10000 1225.2
C0460_A0083 320.65 15000 1227.32
C0460_A0083 320.65 20000 1229.43
C0460_A0083 320.65 25000 1231.49
C0460_A0083 320.65 30000 1233.53
C0460_A0083 320.65 35000 1235.53
C0460_A0083 323.15 100 1219.12
C0460_A0083 323.15 2500 1220.21
C0460_A0083 323.15 5000 1221.31
C0460_A0083 323.15 10000 1223.5
C0460_A0083 323.15 15000 1225.66
C0460_A0083 323.15 20000 1227.75
C0460_A0083 323.15 25000 1229.84
C0460_A0083 323.15 30000 1231.88
C0460_A0083 323.15 35000 1233.89
C0460_A0083 325.65 100 1217.45
C0460_A0083 325.65 2500 1218.52
C0460_A0083 325.65 5000 1219.63
C0460_A0083 325.65 10000 1221.84
C0460_A0083 325.65 15000 1224
C0460_A0083 325.65 20000 1226.13
C0460_A0083 325.65 25000 1228.22
C0460_A0083 325.65 30000 1230.24
C0460_A0083 325.65 35000 1232.3
C0460_A0083 328.15 100 1215.79
C0460_A0083 328.15 2500 1216.86
C0460_A0083 328.15 5000 1218
C0460_A0083 328.15 10000 1220.19
C0460_A0083 328.15 15000 1222.37
C0460_A0083 328.15 20000 1224.51
C0460_A0083 328.15 25000 1226.61
C0460_A0083 328.15 30000 1228.7
C0460_A0083 328.15 35000 1230.73
C0460_A0083 330.65 100 1214.08
C0460_A0083 330.65 2500 1215.14
C0460_A0083 330.65 5000 1216.27
C0460_A0083 330.65 10000 1218.5
C0460_A0083 330.65 15000 1220.69
C0460_A0083 330.65 20000 1222.84
C0460_A0083 330.65 25000 1224.96
C0460_A0083 330.65 30000 1227.02
C0460_A0083 330.65 35000 1229.08
C0460_A0083 333.15 100 1212.33
C0460_A0083 333.15 2500 1213.43
C0460_A0083 333.15 5000 1214.56
C0460_A0083 333.15 10000 1216.8
C0460_A0083 333.15 15000 1219.01
C0460_A0083 333.15 20000 1221.17
C0460_A0083 333.15 25000 1223.28
C0460_A0083 333.15 30000 1225.39
C0460_A0083 333.15 35000 1227.45
C0460_A0083 335.65 100 1210.65
C0460_A0083 335.65 2500 1211.82
C0460_A0083 335.65 5000 1212.95
C0460_A0083 335.65 10000 1215.2
C0460_A0083 335.65 15000 1217.39
C0460_A0083 335.65 20000 1219.57
C0460_A0083 335.65 25000 1221.71
C0460_A0083 335.65 30000 1223.81
C0460_A0083 335.65 35000 1225.86
C0460_A0083 338.15 100 1208.84
C0460_A0083 338.15 2500 1209.97
C0460_A0083 338.15 5000 1211.1
C0460_A0083 338.15 10000 1213.37
C0460_A0083 338.15 15000 1215.6
C0460_A0083 338.15 20000 1217.79
C0460_A0083 338.15 25000 1219.93
C0460_A0083 338.15 30000 1222.05
C0460_A0083 338.15 35000 1224.12
C0460_A0083 340.65 100 1207.32
C0460_A0083 340.65 2500 1208.43
C0460_A0083 340.65 5000 1209.6
C0460_A0083 340.65 10000 1211.86
C0460_A0083 340.65 15000 1214.11
C0460_A0083 340.65 20000 1216.33
C0460_A0083 340.65 25000 1218.49
C0460_A0083 340.65 30000 1220.63
C0460_A0083 340.65 35000 1222.71
C0460_A0083 343.15 100 1205.47
C0460_A0083 343.15 2500 1206.58
C0460_A0083 343.15 5000 1207.74
C0460_A0083 343.15 10000 1210
C0460_A0083 343.15 15000 1212.25
C0460_A0083 343.15 20000 1214.45
C0460_A0083 343.15 25000 1216.61
C0460_A0083 343.15 30000 1218.78
C0460_A0083 343.15 35000 1220.86
C0460_A0083 345.65 100 1203.66
C0460_A0083 345.65 2500 1204.77
C0460_A0083 345.65 5000 1205.92
C0460_A0083 345.65 10000 1208.21
C0460_A0083 345.65 15000 1210.48
C0460_A0083 345.65 20000 1212.73
C0460_A0083 345.65 25000 1214.93
C0460_A0083 345.65 30000 1217.11
C0460_A0083 345.65 35000 1219.24
C0460_A0083 348.15 100 1202.12
C0460_A0083 348.15 2500 1203.23
C0460_A0083 348.15 5000 1204.41
C0460_A0083 348.15 10000 1206.7
C0460_A0083 348.15 15000 1208.99
C0460_A0083 348.15 20000 1211.22
C0460_A0083 348.15 25000 1213.43
C0460_A0083 348.15 30000 1215.59
C0460_A0083 348.15 35000 1217.72
C0460_A0083 350.65 100 1200.38
C0460_A0083 350.65 2500 1201.52
C0460_A0083 350.65 5000 1202.73
C0460_A0083 350.65 10000 1205.05
C0460_A0083 350.65 15000 1207.36
C0460_A0083 350.65 20000 1209.62
C0460_A0083 350.65 25000 1211.82
C0460_A0083 350.65 30000 1213.98
C0460_A0083 350.65 35000 1216.13
C0460_A0083 353.15 100 1198.67
C0460_A0083 353.15 2500 1199.8
C0460_A0083 353.15 5000 1200.99
C0460_A0083 353.15 10000 1203.4
C0460_A0083 353.15 15000 1205.68
C0460_A0083 353.15 20000 1207.95
C0460_A0083 353.15 25000 1210.18
C0460_A0083 353.15 30000 1212.36
C0460_A0083 353.15 35000 1214.51
C0505_A0044 283.15 100 1217.7
C0505_A0044 283.15 2500 1218.69
C0505_A0044 283.15 5000 1219.7
C0505_A0044 283.15 10000 1221.71
C0505_A0044 283.15 15000 1223.68
C0505_A0044 283.15 20000 1225.62
C0505_A0044 283.15 25000 1227.52
C0505_A0044 283.15 30000 1229.41
C0505_A0044 283.15 35000 1231.26
C0505_A0044 285.65 100 1215.99
C0505_A0044 285.65 2500 1216.95
C0505_A0044 285.65 5000 1217.99
C0505_A0044 285.65 10000 1220.02
C0505_A0044 285.65 15000 1222
C0505_A0044 285.65 20000 1223.95
C0505_A0044 285.65 25000 1225.87
C0505_A0044 285.65 30000 1227.76
C0505_A0044 285.65 35000 1229.64
C0505_A0044 288.15 100 1214.24
C0505_A0044 288.15 2500 1215.25
C0505_A0044 288.15 5000 1216.29
C0505_A0044 288.15 10000 1218.32
C0505_A0044 288.15 15000 1220.33
C0505_A0044 288.15 20000 1222.3
C0505_A0044 288.15 25000 1224.23
C0505_A0044 288.15 30000 1226.14
C0505_A0044 288.15 35000 1228.03
C0505_A0044 290.65 100 1212.52
C0505_A0044 290.65 2500 1213.55
C0505_A0044 290.65 5000 1214.59
C0505_A0044 290.65 10000 1216.65
C0505_A0044 290.65 15000 1218.65
C0505_A0044 290.65 20000 1220.63
C0505_A0044 290.65 25000 1222.59
C0505_A0044 290.65 30000 1224.5
C0505_A0044 290.65 35000 1226.39
C0505_A0044 293.15 100 1210.96
C0505_A0044 293.15 2500 1211.94
C0505_A0044 293.15 5000 1212.99
C0505_A0044 293.15 10000 1215.05
C0505_A0044 293.15 15000 1217.08
C0505_A0044 293.15 20000 1219.07
C0505_A0044 293.15 25000 1221.03
C0505_A0044 293.15 30000 1222.96
C0505_A0044 293.15 35000 1224.84
C0505_A0044 295.65 100 1209.38
C0505_A0044 295.65 2500 1210.42
C0505_A0044 295.65 5000 1211.47
C0505_A0044 295.65 10000 1213.54
C0505_A0044 295.65 15000 1215.58
C0505_A0044 295.65 20000 1217.58
C0505_A0044 295.65 25000 1219.54
C0505_A0044 295.65 30000 1221.5
C0505_A0044 295.65 35000 1223.4
C0505_A0044 298.15 100 1207.61
C0505_A0044 298.15 2500 1208.62
C0505_A0044 298.15 5000 1209.67
C0505_A0044 298.15 10000 1211.76
C0505_A0044 298.15 15000 1213.81
C0505_A0044 298.15 20000 1215.83
C0505_A0044 298.15 25000 1217.82
C0505_A0044 298.15 30000 1219.77
C0505_A0044 298.15 35000 1221.7
C0505_A0044 300.65 100 1205.57
C0505_A0044 300.65 2500 1206.64
C0505_A0044 300.65 5000 1207.69
C0505_A0044 300.65 10000 1209.79
C0505_A0044 300.65 15000 1211.92
C0505_A0044 300.65 20000 1214
C0505_A0044 300.65 25000 1216.03
C0505_A0044 300.65 30000 1218
C0505_A0044 300.65 35000 1219.94
C0505_A0044 303.15 100 1204.22
C0505_A0044 303.15 2500 1205.26
C0505_A0044 303.15 5000 1206.33
C0505_A0044 303.15 10000 1208.45
C0505_A0044 303.15 15000 1210.52
C0505_A0044 303.15 20000 1212.56
C0505_A0044 303.15 25000 1214.55
C0505_A0044 303.15 30000 1216.51
C0505_A0044 303.15 35000 1218.44
C0505_A0044 305.65 100 1202.39
C0505_A0044 305.65 2500 1203.49
C0505_A0044 305.65 5000 1204.58
C0505_A0044 305.65 10000 1206.7
C0505_A0044 305.65 15000 1208.8
C0505_A0044 305.65 20000 1210.85
C0505_A0044 305.65 25000 1212.88
C0505_A0044 305.65 30000 1214.87
C0505_A0044 305.65 35000 1216.84
C0505_A0044 308.15 100 1200.72
C0505_A0044 308.15 2500 1201.81
C0505_A0044 308.15 5000 1202.89
C0505_A0044 308.15 10000 1205.02
C0505_A0044 308.15 15000 1207.14
C0505_A0044 308.15 20000 1209.21
C0505_A0044 308.15 25000 1211.25
C0505_A0044 308.15 30000 1213.27
C0505_A0044 308.15 35000 1215.24
C0505_A0044 310.65 100 1199.04
C0505_A0044 310.65 2500 1200.13
C0505_A0044 310.65 5000 1201.22
C0505_A0044 310.65 10000 1203.38
C0505_A0044 310.65 15000 1205.5
C0505_A0044 310.65 20000 1207.58
C0505_A0044 310.65 25000 1209.64
C0505_A0044 310.65 30000 1211.65
C0505_A0044 310.65 35000 1213.64
C0505_A0044 313.15 100 1197.34
C0505_A0044 313.15 2500 1198.44
C0505_A0044 313.15 5000 1199.54
C0505_A0044 313.15 10000 1201.71
C0505_A0044 313.15 15000 1203.84
C0505_A0044 313.15 20000 1205.93
C0505_A0044 313.15 25000 1208
C0505_A0044 313.15 30000 1210.03
C0505_A0044 313.15 35000 1212.04
C0505_A0044 315.65 100 1195.71
C0505_A0044 315.65 2500 1196.81
C0505_A0044 315.65 5000 1197.92
C0505_A0044 315.65 10000 1200.11
C0505_A0044 315.65 15000 1202.25
C0505_A0044 315.65 20000 1204.36
C0505_A0044 315.65 25000 1206.37
C0505_A0044 315.65 30000 1208.48
C0505_A0044 315.65 35000 1210.48
C0505_A0044 318.15 100 1194.11
C0505_A0044 318.15 2500 1195.18
C0505_A0044 318.15 5000 1196.29
C0505_A0044 318.15 10000 1198.5
C0505_A0044 318.15 15000 1200.65
C0505_A0044 318.15 20000 1202.78
C0505_A0044 318.15 25000 1204.87
C0505_A0044 318.15 30000 1206.92
C0505_A0044 318.15 35000 1208.93
C0505_A0044 320.65 100 1192.42
C0505_A0044 320.65 2500 1193.52
C0505_A0044 320.65 5000 1194.64
C0505_A0044 320.65 10000 1196.85
C0505_A0044 320.65 15000 1199.01
C0505_A0044 320.65 20000 1201.15
C0505_A0044 320.65 25000 1203.25
C0505_A0044 320.65 30000 1205.32
C0505_A0044 320.65 35000 1207.34
C0505_A0044 323.15 100 1190.77
C0505_A0044 323.15 2500 1191.85
C0505_A0044 323.15 5000 1192.98
C0505_A0044 323.15 10000 1195.23
C0505_A0044 323.15 15000 1197.38
C0505_A0044 323.15 20000 1199.54
C0505_A0044 323.15 25000 1201.65
C0505_A0044 323.15 30000 1203.73
C0505_A0044 323.15 35000 1205.76
C0505_A0044 325.65 100 1189.06
C0505_A0044 325.65 2500 1190.16
C0505_A0044 325.65 5000 1191.3
C0505_A0044 325.65 10000 1193.55
C0505_A0044 325.65 15000 1195.75
C0505_A0044 325.65 20000 1197.9
C0505_A0044 325.65 25000 1200.03
C0505_A0044 325.65 30000 1202.08
C0505_A0044 325.65 35000 1204.17
C0505_A0044 328.15 100 1187.39
C0505_A0044 328.15 2500 1188.49
C0505_A0044 328.15 5000 1189.63
C0505_A0044 328.15 10000 1191.88
C0505_A0044 328.15 15000 1194.09
C0505_A0044 328.15 20000 1196.26
C0505_A0044 328.15 25000 1198.4
C0505_A0044 328.15 30000 1200.5
C0505_A0044 328.15 35000 1202.57
C0505_A0044 330.65 100 1185.69
C0505_A0044 330.65 2500 1186.79
C0505_A0044 330.65 5000 1187.94
C0505_A0044 330.65 10000 1190.19
C0505_A0044 330.65 15000 1192.42
