id,smiles
C0306,CCOC(=O)Cn1c(C)[n+](c2c1cccc2)CC(=O)c1ccccc1
C0308,CCCCCCCCCCCCCCCC[N+](CCOC(=O)C)(CC)CC
C0309,CCCCCCCCCCC[n+]1c2cc(Cl)c(cc2n(c1C)CCCC(=O)O)Cl
C0310,C[S+](C)C
C0312,Cn1cc[n+](c1)CC(c1ccccc1)O
C0313,CCCC[N+](CCCC)(C)C
C0315,CCCC[N+]1(C)CCCC1
C0316,C=CCn1cc[n+](c1)C
C0317,COc1ccc(cc1)Cn1cc[n+](c1C)CC(=O)c1ccc(cc1)C
C0318,CCC[N+]1(C)CCOCC1
C0319,CCCCCC[N+](CCCC)(CCCC)CCCC
C0320,CCCCCCCCCCCC[N+](Cc1ccccc1)(CCCC)C
C0321,Brc1ccc(cc1)C(=O)C[n+]1cn(c2c1cccc2)Cc1ccccc1
C0322,CCCCn1n[n+](c2c1cccc2)CCCC
C0323,Clc1ccc(cc1)C(=O)C[n+]1ccn(c1C)C
C0324,CCCCCCCCCCCCCCCCn1c(=CC=Cc2n(CCCCCCCCCCCCCCCC)c3c([n+]2CCCCCCCCCCCCCCCC)cccc3)n(c2c1cccc2)CCCCCCCCCCCCCCCC
C0325,N#CCC[n+]1ccc(cc1)C
C0326,Cn1c[n+](nc1)N
C0327,COC(=O)c1cc[n+](cc1)C
C0328,COC(=O)c1ccc[n+](c1)C
C0329,OS(=O)(=O)CCCC[N+](C)(C)C
C0330,CC[N+](CC(CC(C)(C)C)(O)C)(CC)C
C0331,CCOC(=O)C([N+](Cc1ccccc1)(C)C)C
C0332,CCCCCC[N+](CCCCCC)(C)C
C0334,C=CCn1c[n+](c2c1cccc2)CC(=O)c1ccccc1
C0335,c1ccc(cc1)Cn1cc[n+](c1Sc1ccccc1)Cc1ccccc1
C0336,CC[n+]1cccc(c1)O
C0337,CCCC[N+](CCCC)(CCCC)C
C0338,C[C@@H]([n+]1ccccc1)C(=O)C
C0339,C[n+]1ccn(c1)Cc1cc2ccc1CCc1ccc(CC2)c(c1)C1=NC(CO1)(C)C
C0340,COC(=O)C=Cc1ccc(cc1)C[n+]1ccn(c1)C(=O)C
C0341,Brc1ccc(cc1)C[n+]1cn(c2c1cccc2)CCC[Si](C)(C)C
C0342,CCCCCCCCCCn1cc[n+](c1C)C
C0343,Clc1ccc(cc1)C(=O)C[n+]1ccn(c1)C
C0344,CC(CCC[N+](C)(C)C)C
C0345,N#CC[n+]1ccc(cc1)C
C0346,CC([n+]1ccccc1)C
C0347,CCCCCCC(=O)C[N+](CC)(CC)CC
C0348,CCCCCCCCCCCCCCCC[N+](C(O)C)(C)C
C0349,CC([N+](C)(C)C)CC1CCCCCC1
